"X.OG" "GENE_NAME" "human" "human.1" "cow" "cow.1" "cow.2" "marmoset" "marmoset.1" "dog" "armadillo" "gorilla" "gorilla.1" "musMusculus" "musMusculus.1" "musMusculus.2" "musMusculus.3" "musMusculus.4" "musMusculus.5" "musSpretus" "musSpretus.1" "musSpretus.2" "musCaroli" "musCaroli.1" "musCaroli.2" "musCaroli.3" "opossum" "opossum.1" "opossum.2" "ferret" "rabbit" "chimp" "chimp.1" "bonobo" "bonobo.1" "orangutan" "orangutan.1" "rhesus" "rhesus.1" "rhesus.2" "rhesus.3" "rhesus.4" "rat" "rat.1" "rat.2"
"OG10" "OG10" "NFYA" 132.57 218.95 152 126 753.66 678 596.02 40.89 152 235.03 179.6 240.88 194.64 320.95 267 1083 413 83.15 82 113.59 69.02 234.98 47.04 105 98.28 195.25 662.12 299 128.93 325.86 390.97 297.1 408.11 322 180.99 559.26 358.85 372 1057.21 364.52 249 683.52 183
"OG100" "OG100" "IBTK" 579.96 1006.84 647 454 985.02 1042.26 1535.63 643.81 399.91 1266.89 808.83 837.35 824.84 2000.12 1633.42 5370 4160.95 365.52 447.11 345.5 166.07 753.05 166 322 491.14 541.25 3202.87 1180 4516.42 719.18 665.23 423.27 2022.43 829.78 572 482.57 1032.89 1547 6191.54 2291.46 2489.64 7388.07 1469.65
"OG1000" "OG1000" "IFI35" 276.71 510.26 269 407 1244.78 462.12 1869.76 414 61.21 554.5 588.29 474.78 272.64 631.6 886.63 3203.93 2013.19 222.97 353.41 337.07 132 675 142 292 137.45 203.32 560.72 140.26 610 165.2 408.08 260.8 2486.27 1297.65 1043.18 461.64 323.6 390.76 1146.36 663.98 721 1818 436.21
"OG10000" "OG10000" "TAL1" 21.67 39.88 26 50 212 21.81 8 1 19 24 5 24.05 14.79 32 32 109 90 2 10 6 3 22 3 9 56.76 61.64 102 6 12 7 6 22.21 1 NA NA NA NA NA NA NA 32 223 40
"OG10003" "OG10003" "ELAVL4" 0.99 2 0 0 0 1 10 0 0 6 2 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 2 1 38 5.59 0 1 2 0 2.22 11.29 0 1 0 2 0 0 0
"OG10005" "OG10005" "ZYG11B" 498.22 993.56 187.48 223.35 627.87 509 221 382 73 80.18 93.15 1042.32 703.42 1302.32 1544.02 4903.86 4688.38 265.73 289.76 196.37 148.96 596.98 153 303.76 992.45 1809.2 2591.92 347 1246 588.54 949.03 403.36 754.34 122.72 35 80.03 90.88 94 516 106 196 653 68
"OG10006" "OG10006" "SLC1A7" 166.19 12 0 0 4 5 4 28 3 53 21 3.02 5.03 4.62 11.5 11 20.1 6.01 4.14 9 6.86 3.06 4.96 10.35 0 0 0 0 0 9.02 8 6 51 67.03 23 20 1 7 36 12 7 59 7
"OG10008" "OG10008" "ACOT11" 102.45 162.84 39773.69 39549.21 126977.58 53.57 27.31 10 7.05 88.91 55.35 205.86 56.19 468.35 54.48 1063 33.9 247.56 327.01 508.13 225.75 129.83 29.64 19 20.01 19.02 34 0 7 12.49 9.52 3 8 133.74 69.28 11.1 4.74 5 11 12 4 23.52 1
"OG10009" "OG10009" "FAM151A" 452.88 1209.22 1 2 25 63.43 107.69 1 5.95 7.08 9.77 2.09 0 0 0 0 0 0 0 0 0 0 1.56 0 0 2.76 3 3 15.02 1.13 1 1 2 9.05 4.77 0 0 1 0 0 1 4.48 1
"OG1001" "OG1001" "HEATR6" 37 91.93 435 422 1818.99 527.98 486.87 581.01 162 249.08 132.08 400.17 256.02 432.22 631 2104 879 138.14 192.2 286.73 130.43 463.16 187.93 270.61 113.78 180.26 432 262 791.71 95 188 71 235.14 656.8 416.17 163.47 167.26 410 845 370 229 1030.86 262
"OG10010" "OG10010" "PARS2" 55 108 27 70 169 76 109 NA NA 47 69.87 57 22 30.76 62 325 187 57.92 69.93 94 51 124 31 64 42.75 59.03 95 25 145 25.57 35 26 51 64.99 21 296.42 115.11 196 764.96 225 149 671.13 137
"OG10011" "OG10011" "LEXM" 1 3 0 0 1 55.01 94 3 0 7 2 0 2 0 1 1 0 0 0 0 0 1 0 2 162.27 210.24 152.27 0 0 0 2 3 9 7 1 0 0 1 0 2 0 0 0
"OG10012" "OG10012" "BSND" 0.98 2.71 0 0 0 0 0 1 5.21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36.54 25.75 0 0 0 0 0 1 1 0
"OG10013" "OG10013" "USP24" 594.43 689.52 431 643 1699.09 787.85 1456.9 935.35 1043 912.6 736.1 2546.71 1367.14 3160.63 2249 7832.99 6341.95 783.78 935.95 826.24 439.5 1642.69 469 904 1405.08 1789.94 4155.26 668 3790.15 804.63 839.95 370.61 819.82 507.52 206.01 409.09 509.89 485 2725.03 864 2145 6558.62 1316
"OG10014" "OG10014" "PLPP3" 2109.28 2920.4 747 940 3223.86 2714.09 2744.89 1392 1246 2788.4 1712.19 2707.86 1222.71 4314.37 4080 17070.07 9638.25 1627.6 2602.4 3236.52 1600.73 2503.04 1252.38 1723.41 723.53 891.82 525 326 13206.81 517.8 342.66 509.67 482.79 467.29 208.11 653.89 654.02 537 3101 607 5933.7 18403.64 6251
