"X.OG" "GENE_NAME" "human" "human.1" "cow" "cow.1" "cow.2" "marmoset" "marmoset.1" "dog" "armadillo" "gorilla" "gorilla.1" "musMusculus" "musMusculus.1" "musMusculus.2" "musMusculus.3" "musMusculus.4" "musMusculus.5" "musSpretus" "musSpretus.1" "musSpretus.2" "musCaroli" "musCaroli.1" "musCaroli.2" "musCaroli.3" "opossum" "opossum.1" "opossum.2" "ferret" "rabbit" "chimp" "chimp.1" "bonobo" "bonobo.1" "orangutan" "orangutan.1" "rhesus" "rhesus.1" "rhesus.2" "rhesus.3" "rhesus.4" "rat" "rat.1" "rat.2"
"OG10" "OG10" "NFYA" 2588.13 3138.65 1674.75 1665.56 1656.31 2371.72 2664.78 864.09 4392.49 1424.86 1538.99 2467.87 2370.52 2117.03 2827.33 2907.04 3101.38 2224 2921.78 2502.82 3072.98 3309.11 3052.64 3454.89 5085.78 5045.65 4908.43 2155.84 919.13 6233 6233 6233 6233 3792 3792 4058.11 3955.64 3917.8 3965.09 3845.98 3243.27 3050.5 2897.66
"OG100" "OG100" "IBTK" 3829.74 3542.72 4232.63 4231.7 4223.94 4019.79 3040.27 9184.09 4281.49 4801.5 4802.19 5649 5649 5649 5602.79 5610.22 5616.95 5636.15 5641.63 5635.3 5640.41 5633.85 5645.79 5642.13 7410 7410 7266.31 7105.84 6842.13 5811 5811 5811 5811 6278 6278 4453.66 4642.3 5372.18 5695.23 5326.54 3999 4008.77 4015.35
"OG1000" "OG1000" "IFI35" 1198.86 1152.68 1137.63 1136.7 1128.94 1206 1181.63 1110.09 707.49 1222 1222 1250.08 1287.65 1234.9 1261.04 1283.86 1277.05 1324.44 1318.45 1324.59 1301.97 1294.37 1232.69 1279.02 858 858 714.31 734.84 736.31 1248 1248 1248 1248 3997 3997 1906.39 2484.55 2397.25 4105.27 2887.74 1017 1026.77 1033.35
"OG10000" "OG10000" "TAL1" 3347.6 3850.67 2017.63 2016.7 2008.94 1027.6 1132 770.09 1210.49 1106.12 1128 4061.92 4213 2945.52 3906.26 3494.41 3724.28 2881.15 2886.63 4199.3 4204.41 4197.85 3699.79 3696.13 4870 4870 4726.31 908.84 824.36 1131 1131 1131 1131 NA NA NA NA NA NA NA 4305.43 4278.31 4187.35
"OG10003" "OG10003" "ELAVL4" 1951 1150.5 3360.63 3359.7 3351.94 1530 2998.48 2367.09 4247.49 3937 3648.5 2561.67 2561.67 2561.67 3977.79 2522.89 2529.62 2548.82 2554.3 2547.98 2553.08 2546.52 2558.46 2554.8 1532 1532 1388.31 4349.84 4672.13 3759 3759 3759 3759 3999 3999 1203.27 2420.67 3826.21 2383.93 1742.41 3900 3909.77 3916.35
"OG10005" "OG10005" "ZYG11B" 8093 8093 3260.63 3259.7 3251.94 3778 3778 2318.09 2043.49 2176 2176 8691 8256.61 8411.11 8418.95 8407.38 8224.5 8678.15 8683.63 8677.3 7675.3 8133.03 7706.94 7696 2258 2258 2114.31 2402.84 2367.13 8128 8128 8128 8128 2480 2480 1292.06 1286.51 1257.39 1184.02 1216.74 2617 2626.77 2633.35
"OG10006" "OG10006" "SLC1A7" 2481.17 2431.07 1652.63 1651.7 1643.94 1695 1695 5361.09 1692.49 2677 2677 2797.88 2167.36 3007 1840.79 2259.74 1854.95 1874.15 1879.63 2017.33 2998.41 1871.85 2354.35 2326.37 1791 1791 1647.31 1556.84 1231.13 1749 1749 1749 1749 1683 1683 2510.7 2308 2266.21 2646.27 2269.34 2640.9 2741.77 2137.71
"OG10008" "OG10008" "ACOT11" 4686.38 4807.86 2566.63 2565.61 2557.48 3078 3078 5688.09 6419.49 2501 2159.05 4492.17 3071.27 4195.04 3787.92 4123.05 4870.98 4194.58 4587.02 4571.36 4955.8 5530.76 3755.06 4060.25 1323 1323 1179.31 1751.84 1948.13 2000 2000 2000 2000 5210 5210 3894.07 4156.12 1740.21 1919.06 4187.34 2054 2063.77 2070.35
"OG10009" "OG10009" "FAM151A" 2005 2005 1838.63 1837.7 1829.94 2004 1989.71 1623.09 2991.49 2005 2005 1923 1923 1923 1876.79 1884.22 1890.95 1910.15 1915.63 1909.3 1914.41 1907.85 1919.79 1916.13 2415 2415 2271.31 1930.84 3226.13 1752 1752 1752 1752 3398 3398 1477.5 1477.5 1716.21 1440.77 1438.84 2046 2055.77 2062.35
"OG1001" "OG1001" "HEATR6" 1441.97 1988.64 3940.63 3939.7 3931.94 3727.12 3726.01 3385.09 4915.49 3552 3552 5175.18 4657.73 5096.53 4857.11 4609.68 4886.31 4465.98 4328.66 4300.46 4399.48 4520.35 4625.65 3851.32 3811 3811 3666.61 4853.84 4847.13 3934 3934 3934 3934 7165 7165 4157.49 4622.63 4901.21 4906.27 4476.47 4012 4021.77 4028.35
"OG10010" "OG10010" "PARS2" 2347 2347 1391.63 1390.7 1382.94 2115 2115 NA NA 2345 2345 1646.06 1549.98 2325.18 2179.95 1951.04 2208.55 1752.29 1853.25 1422.81 1761.51 1991.47 1596.79 1983.58 1434 1434 1290.31 1295.84 1763.13 2384 2384 2384 2384 801 801 2772 2772 2730.21 2735.27 2733.34 3234 3243.77 3250.35
"OG10011" "OG10011" "LEXM" 1651 1651 1208.63 1207.7 1199.94 1254 1254 3804.09 1049.49 1458.25 1257 1167 1552 1167 1522.79 1513.22 1134.95 1154.17 1159.65 1153.33 1158.44 1536.85 1163.8 730.94 5099 5099 4955.31 4467.84 1262.13 1735.5 1734.38 1692 1692 1728 1728 1245 1245 1152.21 1208.27 1257.34 1896 1905.77 1912.35
