"X.OG" "GENE_NAME" "human" "human.1" "cow" "cow.1" "cow.2" "marmoset" "marmoset.1" "dog" "armadillo" "gorilla" "gorilla.1" "musMusculus" "musMusculus.1" "musMusculus.2" "musMusculus.3" "musMusculus.4" "musMusculus.5" "musSpretus" "musSpretus.1" "musSpretus.2" "musCaroli" "musCaroli.1" "musCaroli.2" "musCaroli.3" "opossum" "opossum.1" "opossum.2" "ferret" "rabbit" "chimp" "chimp.1" "bonobo" "bonobo.1" "orangutan" "orangutan.1" "rhesus" "rhesus.1" "rhesus.2" "rhesus.3" "rhesus.4" "rat" "rat.1" "rat.2"
"OG10" "OG10" "NFYA" 2588.13 3138.65 1711.11 1702.87 1701.37 2371.72 2664.78 1114 4552 1424.86 1538.99 2467.87 2370.52 2117.03 2873.53 2945.81 3133.43 2236.85 2929.15 2516.51 3081.57 3324.26 3055.85 3461.76 5085.78 5045.65 5052.12 2288 1047 6233 6233 6233 6233 3792 3792 4058.11 3955.64 3959.59 4001.82 3884.64 3297.27 3094.73 2935.32
"OG100" "OG100" "IBTK" 3829.74 3542.72 4269 4269 4269 4019.79 3040.27 9434 4441 4801.5 4802.19 5649 5649 5649 5649 5649 5649 5649 5649 5649 5649 5649 5649 5649 7410 7410 7410 7238 6970 5811 5811 5811 5811 6278 6278 4453.66 4642.3 5413.97 5731.96 5365.2 4053 4053 4053
"OG1000" "OG1000" "IFI35" 1198.86 1152.68 1174 1174 1174 1206 1181.63 1360 867 1222 1222 1250.08 1287.65 1234.9 1307.25 1322.64 1309.1 1337.29 1325.82 1338.28 1310.56 1309.52 1235.9 1285.89 858 858 858 867 864.18 1248 1248 1248 1248 3997 3997 1906.39 2484.55 2439.04 4142 2926.39 1071 1071 1071
"OG10000" "OG10000" "TAL1" 3347.6 3850.67 2054 2054 2054 1027.6 1132 1020 1370 1106.12 1128 4061.92 4213 2945.52 3952.47 3533.19 3756.33 2894 2894 4213 4213 4213 3703 3703 4870 4870 4870 1041 952.23 1131 1131 1131 1131 NA NA NA NA NA NA NA 4359.42 4322.54 4225
"OG10003" "OG10003" "ELAVL4" 1951 1150.5 3397 3397 3397 1530 2998.48 2617 4407 3937 3648.5 2561.67 2561.67 2561.67 4024 2561.67 2561.67 2561.67 2561.67 2561.67 2561.67 2561.67 2561.67 2561.67 1532 1532 1532 4482 4800 3759 3759 3759 3759 3999 3999 1203.27 2420.67 3868 2420.67 1781.06 3954 3954 3954
"OG10005" "OG10005" "ZYG11B" 8093 8093 3297 3297 3297 3778 3778 2568 2203 2176 2176 8691 8256.61 8411.11 8465.15 8446.15 8256.55 8691 8691 8691 7683.88 8148.19 7710.15 7702.87 2258 2258 2258 2535 2495 8128 8128 8128 8128 2480 2480 1292.06 1286.51 1299.18 1220.75 1255.4 2671 2671 2671
"OG10006" "OG10006" "SLC1A7" 2481.17 2431.07 1689 1689 1689 1695 1695 5611 1852 2677 2677 2797.88 2167.36 3007 1887 2298.52 1887 1887 1887 2031.03 3007 1887 2357.56 2333.24 1791 1791 1791 1689 1359 1749 1749 1749 1749 1683 1683 2510.7 2308 2308 2683 2308 2694.9 2786 2175.37
"OG10008" "OG10008" "ACOT11" 4686.38 4807.86 2603 2602.91 2602.54 3078 3078 5938 6579 2501 2159.05 4492.17 3071.27 4195.04 3834.13 4161.83 4903.04 4207.43 4594.39 4585.05 4964.39 5545.92 3758.27 4067.12 1323 1323 1323 1884 2076 2000 2000 2000 2000 5210 5210 3894.07 4156.12 1782 1955.8 4226 2108 2108 2108
"OG10009" "OG10009" "FAM151A" 2005 2005 1875 1875 1875 2004 1989.71 1873 3151 2005 2005 1923 1923 1923 1923 1923 1923 1923 1923 1923 1923 1923 1923 1923 2415 2415 2415 2063 3354 1752 1752 1752 1752 3398 3398 1477.5 1477.5 1758 1477.5 1477.5 2100 2100 2100
"OG1001" "OG1001" "HEATR6" 1441.97 1988.64 3977 3977 3977 3727.12 3726.01 3635 5075 3552 3552 5175.18 4657.73 5096.53 4903.31 4648.46 4918.36 4478.83 4336.02 4314.16 4408.07 4535.5 4628.86 3858.19 3811 3811 3810.31 4986 4975 3934 3934 3934 3934 7165 7165 4157.49 4622.63 4943 4943 4515.13 4066 4066 4066
