"X.OG" "GENE_NAME" "human" "human.1" "cow" "cow.1" "cow.2" "marmoset" "marmoset.1" "dog" "armadillo" "gorilla" "gorilla.1" "musMusculus" "musMusculus.1" "musMusculus.2" "musMusculus.3" "musMusculus.4" "musMusculus.5" "musSpretus" "musSpretus.1" "musSpretus.2" "musCaroli" "musCaroli.1" "musCaroli.2" "musCaroli.3" "opossum" "opossum.1" "opossum.2" "ferret" "rabbit" "chimp" "chimp.1" "bonobo" "bonobo.1" "orangutan" "orangutan.1" "rhesus" "rhesus.1" "rhesus.2" "rhesus.3" "rhesus.4" "rat" "rat.1" "rat.2"
"OG10" "OG10" "NFYA" 2.78 2.03 4.49 4.17 6.92 14.6 6.88 2.84 1.94 7.24 5.8 4.4 6.35 5.47 3.35 3.31 1.34 2.36 1.45 2.24 2.36 2.92 1.48 1.96 2.13 3.37 4.1 9.67 4.28 4.15 3.29 4.3 3.37 3.91 3.39 6.64 6.27 5.19 3.73 5.11 2.47 2.14 3.02
"OG100" "OG100" "IBTK" 8.17 8.27 7.56 5.91 3.54 13.1 15.49 4.21 5.22 11.3 8.18 6.6 11.16 12.59 10.34 8.49 7.47 4.08 4.07 3.01 3.08 5.48 2.81 3.67 7.27 6.35 13.39 11.56 20.11 9.83 6 6.58 17.9 6.05 6.44 5.22 15.35 15.73 15.21 23.18 20.01 17.59 17.47
"OG1000" "OG1000" "IFI35" 12.83 13.27 11.71 19.74 16.79 20.08 50.14 22.41 4.85 20.04 24.12 17.46 16.68 18.78 24.97 22.19 15.92 10.68 13.93 12.6 10.72 21.6 11.15 14.85 18.52 21.71 23.87 13.32 25.3 10.85 17.69 19.48 105.79 14.93 18.54 11.84 9.07 8.91 3.91 12.39 22.81 16.96 20.18
"OG10000" "OG10000" "TAL1" 0.35 0.3 0.64 1.37 1.61 1.12 0.22 0.08 0.88 0.96 0.22 0.26 0.27 0.39 0.29 0.28 0.24 0.04 0.18 0.07 0.07 0.22 0.08 0.16 1.28 1.1 0.66 0.46 0.44 0.51 0.29 1.84 0.05 NA NA NA NA NA NA NA 0.24 0.5 0.46
"OG10003" "OG10003" "ELAVL4" 0.03 0.05 0 0 0 0.03 0.1 0 0 0.07 0.03 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0.06 0.04 0.02 0.25 0.12 0 0.02 0.03 0 0.04 0.47 0 0.01 0 0.06 0 0 0
"OG10005" "OG10005" "ZYG11B" 3.3 3.54 2.84 3.77 2.93 6.81 1.79 9.9 2 1.6 2.11 5.33 6.49 5.49 6.51 5.17 5.74 1.92 1.71 1.11 2.03 3.01 1.89 2.54 48.95 70.73 37.25 10.06 16.05 5.74 6.1 4.47 4.76 2.29 1.01 3.07 5.01 4.09 6.11 4.7 2.41 2.37 1.23
"OG10006" "OG10006" "SLC1A7" 3.64 0.14 0 0 0.04 0.15 0.07 0.31 0.1 0.85 0.38 0.05 0.18 0.06 0.22 0.04 0.11 0.2 0.11 0.22 0.24 0.07 0.2 0.29 0 0 0 0 0 0.42 0.24 0.32 1.53 1.86 0.99 0.39 0.03 0.17 0.19 0.29 0.09 0.21 0.16
"OG10008" "OG10008" "ACOT11" 1.18 0.98 766.36 849.05 754.9 0.88 0.27 0.11 0.06 1.54 1.26 2.05 1.41 3.98 0.51 2.29 0.07 3.71 3.67 5.46 4.77 0.96 0.75 0.3 1.71 1.29 0.88 0 0.11 0.5 0.25 0.14 0.21 1.18 0.94 0.14 0.08 0.16 0.08 0.15 0.06 0.11 0.02
"OG10009" "OG10009" "FAM151A" 12.34 17.74 0.03 0.06 0.21 1.62 1.68 0.04 0.11 0.15 0.24 0.05 0 0 0 0 0 0 0 0 0 0 0.08 0 0 0.1 0.04 0.11 0.14 0.05 0.03 0.05 0.06 0.12 0.1 0 0 0.03 0 0 0.02 0.02 0.02
"OG1001" "OG1001" "HEATR6" 1.42 1.36 5.46 5.9 7.03 7.16 3.99 10.31 1.84 3.01 1.81 3.45 4.21 3.02 4.61 4.05 1.81 1.95 2.28 3.28 3.1 4.21 3.88 4.52 3.3 4.14 3.58 3.76 4.98 1.93 2.51 1.64 3.09 4.19 4.1 1.89 2.5 4.57 2.41 4.45 1.83 2.45 3.1
"OG10010" "OG10010" "PARS2" 1.28 1.35 0.96 2.77 1.86 1.84 1.59 NA NA 0.87 1.46 1.58 1.11 0.48 1.01 1.48 0.85 2.09 1.95 3.27 3.05 2.57 1.87 2.09 3.36 3.68 2.24 1.35 2.51 0.86 0.78 1 1.11 3.93 1.96 5.18 2.89 3.92 3.92 4.44 1.48 1.98 2.01
"OG10011" "OG10011" "LEXM" 0.03 0.05 0 0 0.01 2.29 2.37 0.05 0 0.21 0.08 0 0.1 0 0.02 0.01 0 0 0 0 0 0.03 0 0.18 3.5 3.6 0.93 0 0 0 0.06 0.16 0.28 0.19 0.04 0 0 0.05 0 0.09 0 0 0
"OG10012" "OG10012" "BSND" 0.02 0.02 0 0 0 0 0 0.02 0.07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.38 0.42 0 0 0 0 0 0.01 0 0
"OG10013" "OG10013" "USP24" 4.04 3.16 2.67 4.44 3.24 4.04 4.51 7.69 5.45 3.69 3.38 10.7 10.32 10.97 7.68 6.67 6.15 4.66 4.56 3.83 4.35 6.37 4.25 5.74 13.33 13.46 11.08 5.94 14.94 6.21 4.28 3.25 4.1 2.72 1.7 5.08 6.76 4.68 4.41 5.98 6.55 5.94 5.96
"OG10014" "OG10014" "PLPP3" 34.7 26.01 24.18 33.91 32.28 44.66 27.28 24.53 30.63 37.36 26.03 38.45 29.78 48.91 46.51 48.55 31.08 32.6 42.56 50.62 53.3 32.73 37.99 35.24 46.57 45.5 9.98 39.32 152.49 40.63 17.74 45.46 24.53 23.87 16.41 32.31 46.32 30.26 44.55 33.63 63.05 57.91 98.13
"OG10015" "OG10015" "NOL9" 2.12 1.44 4.24 4.8 5.41 2.26 0.98 2.95 3.42 1.64 2.53 4.24 9.75 7.29 10.62 6.26 3.47 2.96 2.67 3.2 4.78 4.17 4.04 4.4 3.6 3.84 4.32 8.38 3.93 2.2 1.85 3.12 2.43 4.54 3.03 1.03 1.64 2.25 1.85 2.56 2.06 1.95 2.77
"OG10016" "OG10016" "PRKAA2" 0.06 0.02 2.8 2.7 2.37 0.04 0.08 3.38 0.34 0.2 0.06 6.91 8.64 11.06 8.54 5.66 7.18 2.21 2.02 1.9 2.43 3.85 3.14 2.93 6.28 18.67 13.73 2.34 25.62 0.48 0.47 0.31 0 0.27 0.11 0.06 0.08 0 0.1 0.19 6.17 7.34 3.55
"OG10017" "OG10017" "KLHL21" 9.24 3.81 1.98 1.59 10.45 3.88 2.1 7.43 8.29 4.42 4.45 42.26 18.64 15.29 14.74 17.23 6.88 6.05 2.99 9.06 6.12 4.1 2.9 5.1 3.65 4.71 1.25 5.22 6.86 2.88 2.45 13.09 14.62 2.2 0.73 2.02 1.13 0.11 0.02 0.08 4.73 4.6 5.49
"OG10020" "OG10020" "SLC45A1" 0.02 0.05 0 0 0.01 0.11 0.27 0.15 7.28 0.76 0.29 0.01 0 0.03 0.02 0 0.01 0 0 0 0.03 0.01 0 0 0.12 0.14 0.56 0.08 1.16 0.75 0.78 1.48 0.21 0.32 0.32 0.17 0.33 0.09 0.06 0.13 0.01 0 0.02
"OG10022" "OG10022" "AK4" 64.93 13.32 60.59 32.78 28.65 2.73 5.65 NA 0.5 6.65 7.71 42.56 15.19 30.19 27.5 13.3 16.86 13 14.73 12.65 8.37 19.72 10.32 12.87 7.11 14.8 8.72 7.42 8.16 10.57 11.26 15.17 8.68 7.83 3.67 12.81 11.51 17.25 17.89 12.22 27.86 27.05 38.6
"OG10023" "OG10023" "JAK1" 13.63 10.1 28.72 36.12 21 20.78 19.97 18.9 26.96 25.42 12.87 23.57 27.92 25.2 26.8 21.44 16.19 8.51 9.95 8.87 9.82 19.41 15.17 19.78 28.32 25.88 8.81 44.92 42.03 16.18 16.23 16.45 29.42 8.69 9.6 10.85 21.26 33.49 31.97 40.54 33.25 39.22 38.65
"OG10024" "OG10024" "RAVER2" 0.12 0.16 0.07 0.46 0.16 0.12 0.16 0.1 0 0.3 0.11 0.22 0.27 0.36 0.08 0.1 0.1 0.02 0.01 0.04 0.13 0.05 0.02 0.02 2.6 4.43 2.65 0.08 46.19 0.8 0.23 0.22 0.49 0.09 0.13 0.13 0.37 0.32 0.22 0.42 0.01 0.01 0.04
"OG10025" "OG10025" "CTRC" 0.21 0.17 0 0 0.22 0 0 4.77 0.21 0 0 0 0 0 0 0 0 0 0.22 0 0 0 0.63 0.08 0 0.12 0.1 2.44 0.05 0 0 0 0 0 0 0.07 0.1 0 0 0 0.16 0.15 0.23
"OG10026" "OG10026" "LZIC" 4.29 4.83 NA NA NA 5.53 6.18 3.84 1.88 5.79 5.11 2.76 5.3 3.34 4.79 2.82 1.86 2.55 3.52 3.83 4.54 1.96 2.79 1.88 3 3.65 6.96 6.67 18.94 7.89 5.84 2.9 5.24 3.38 2.45 2.05 3.53 4.96 3.55 6.55 2.52 2.55 4.01
"OG10027" "OG10027" "RBP7" 0.82 1.37 0 0 0 2.46 28.27 0.05 0 7.26 6.95 0.08 0 0 0.19 0.04 0.02 0.42 0 0.08 0 0 0 0 10.22 9.09 20.36 1.02 NA 4.69 6.04 4.12 6.55 0.18 0 0.49 0.7 1.25 0.98 1.63 1.43 0.61 1.35
"OG10029" "OG10029" "FBLIM1" 1.8 1.21 0.79 1.66 1.46 0.21 0.04 1.12 2.38 16.81 11.36 0.48 1.21 1.29 0.39 0.45 0.24 0.36 0.15 0.87 0.96 0.83 1.17 0.6 0.3 0.52 0.18 0.46 1.19 3.13 3.04 4.73 3.56 2.47 2.85 1.94 1.43 1.84 1.25 0.73 0.3 0.43 0.36
"OG1003" "OG1003" "PLEKHH3" 28.26 9.41 1.68 2.51 3.74 2.75 1.98 5.47 8.42 4.06 11.29 2.87 4.6 4.22 3.34 3.8 2.2 1.14 1.02 1.73 2.8 3.33 3.58 4.44 5.72 4.99 3.52 8.94 6.39 7.02 5.1 12 4.95 5.18 1.73 10.91 5.83 2.95 3.54 2.12 1.26 0.95 1.3
"OG10030" "OG10030" "TMEM82" 15.32 18.96 3.94 2.55 16.93 28.93 21.73 20.52 16.37 6.76 5.9 15.01 12.48 10.84 18.57 10.76 11.52 20.08 17.85 23.33 20.73 21.72 18.88 20.23 8.62 11.68 6.87 37.52 25.17 17.28 28.42 26 7.2 13.12 9.06 NA NA NA NA NA 9.18 9.34 11.23
"OG10031" "OG10031" "SLC25A34" 0.61 1.15 1.73 2.03 2.7 6.49 0.47 3.14 0 2.22 2.78 3.21 2.23 2.62 2.27 2.85 1.11 4.49 2.74 6.11 5.84 2.6 1.94 2.23 8.66 7.13 3.07 7.04 NA 5.58 4.33 8.32 2.67 NA NA 2.97 1.88 3.19 2.46 3.13 0.9 0.17 0.11
"OG10033" "OG10033" "PDPN" 0.13 0.04 0 0.02 0.01 0.22 0.06 0.29 0.4 1.72 0.07 0.06 0.21 0.3 0.06 0.22 0.07 0 0.23 0.47 0.28 0.11 0.05 0.35 0 0 0 0.35 0.17 0.35 0.44 0.26 0.14 0.12 0.11 0.06 1.76 0.17 0.34 0.53 0.09 0.21 0.11
"OG10034" "OG10034" "LRRC38" 0.04 0 0.17 0.32 0.04 0 0 0 NA 0.05 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09 0.04 0.17 0.05 0 0 0 0 NA NA NA NA NA 0 0 0
"OG10035" "OG10035" "DHRS3" 259.81 111.07 70.37 73.22 197.07 58.29 35.75 64.64 45.58 90.17 162.72 121.65 54.42 99.78 86.7 106.17 82.63 110.48 143.36 198.07 160.89 124.1 120.67 121.41 79.34 72.34 41.98 32.63 15.14 84.41 97.79 160.97 155.94 108.53 77.13 57.91 36.58 12.13 12.43 15.93 56.25 60.16 59.69
"OG10036" "OG10036" "MATN1" 0.03 0.01 0 0 0.03 0.07 0.06 0 0 0.13 0.28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.08 0 0.11 0 0.05 NA NA NA NA NA 0 0 0.03
"OG10037" "OG10037" "LAPTM5" 10.08 9.08 44.2 55.98 57.46 11.75 5.86 23.9 23.59 40.91 16.73 25.09 13.49 19.41 4.88 7.11 1.78 2.69 2.57 1.6 1.13 4.93 5.76 4.81 10.01 11.22 8.08 57.74 39.21 8.61 19.95 8.82 29.38 21.36 24.36 12.97 33.99 18.14 12.2 33.91 5.34 4.78 5.59
"OG10038" "OG10038" "SDC3" 8.44 2.74 13.21 32.63 46.31 14.19 2.24 3.88 3.05 6.62 6.57 24.37 19.11 19.2 8.86 13 3.57 2.73 3.14 6.2 5.94 6.17 10.27 5.6 215.72 160.79 160.93 20.3 25.98 3.63 6.03 6.23 15.26 20.41 2.39 6.87 21.41 13.43 7.16 14.6 4.02 7.19 4.65
"OG10039" "OG10039" "PEF1" 22.11 19.09 13.15 21.44 21.91 23.62 19.91 13.17 18.06 31.08 24.69 15.8 24.43 12.29 26.82 26.55 19.02 17.46 19.89 23.3 25.11 30.8 19.37 26.43 21.26 23.56 18.76 35.02 11.47 19.04 19.62 16.43 29.29 16.69 27.07 31.81 22.18 21.63 22.33 21.76 22.56 20.73 19.81
"OG10040" "OG10040" "SYNC" 0.31 0.21 0.44 0.28 0.46 0.51 0.53 4.03 7.19 0.46 0.16 0.06 0 0.05 0.11 0.19 0.23 0.3 0.11 0.26 0.64 0.02 0.08 0.03 0.67 0.33 1.06 7.79 0.03 4.16 4.7 1.98 2.45 0.4 0.15 0.07 0.1 0 0.03 0.08 0.72 0.46 0.38
"OG10041" "OG10041" "KIAA1522" 3.92 1.54 1.39 3.47 8.81 16.43 7.5 NA 0.75 1.07 1.39 18.65 23.84 16.36 25.51 26.17 10.77 11.29 6.79 28.81 20.21 17.16 29.31 17.11 10.96 10.91 11.86 8.11 6.45 2.24 1.28 3.91 6.46 7.22 0.71 5.22 2.6 2.39 1.95 3.19 2.48 2.97 4.11
"OG10042" "OG10042" "TSSK3" 0.67 1.06 0.36 1.27 3.44 7.5 5.31 5.61 0 0.94 0.55 0.18 0.06 0 0 0.04 0.02 0 0 0 0.08 0.03 0 0 0.77 1.3 0.61 0 0.09 0.84 1.82 3.19 6.47 0 0 NA NA NA NA NA 0.4 0.25 0.31
"OG10043" "OG10043" "TMCO4" 3.48 3.65 2.53 2.68 6.5 3.26 3.3 1.69 1.87 2.18 1.98 5.01 6.2 6.72 6.05 7.09 3.71 4.09 3.59 6.83 3.93 4.06 2.85 3.39 1.53 1.68 1.17 2.91 6.45 1.19 0.95 0.63 3.28 6.58 3.48 1.24 1.32 0.76 0.55 0.85 2.18 1.78 2.59
"OG10046" "OG10046" "ALPL" 19.5 22.65 11.64 18.26 20.39 14.17 92.9 16.37 1.8 63.3 119.37 15.2 6.48 6.63 13.72 4.96 4.91 17.21 24.05 41.67 21.73 0.74 1.18 0.54 0.58 0.95 0.44 2.6 0.8 32.07 38.23 34.61 41.61 104.74 74.49 68.08 69.92 36.78 41.02 75.12 4.44 4.37 4.04
"OG10047" "OG10047" "WNT4" 1.42 0.54 0 0 0.03 0 0 1.8 0.03 0.4 0.33 0.36 0.44 0.58 0.18 0.58 0.39 0.61 0.85 0.59 1.17 1.03 1.36 1.47 0.1 0.16 0.08 0.07 0.66 0.55 1.46 0.27 2 0.36 0.3 NA NA NA NA NA 1.06 0.75 0.62
"OG10048" "OG10048" "TTLL10" 0.33 0.14 0 0.03 0.23 0.03 0.02 0.13 0 0.15 0.11 0.03 0.6 0.17 0.13 0.06 0.03 0.09 0.36 0.13 0.18 0.05 0.04 0.21 0 0 0.02 0.12 NA 0.17 0.11 0 0.04 0 0.04 0.18 0.23 0.06 0.06 0.14 0.12 0.36 0.05
"OG10050" "OG10050" "MXRA8" 5.57 3.01 3.06 2.53 3.62 NA NA 1.27 NA 6.01 5.59 2.56 4.72 6.72 1.62 3.26 2.3 0.77 0.74 1.54 0.71 2.12 2.24 2.38 4.77 2.43 1.27 NA NA NA NA NA NA 2 2.77 7.65 3.72 1.71 1.81 2.02 1.06 2.61 1.76
"OG10051" "OG10051" "MEGF6" 1.71 1.5 0.56 0.31 3.61 3.7 1.29 3.07 NA 4.82 1.22 0.35 1.1 0.24 0.12 0.3 0.09 0.06 0.03 0.14 0.11 0.18 0.52 0.27 0.83 0.4 0.09 4.35 0.76 NA NA NA NA 11.78 1.77 0.46 1.2 0.04 0.04 0.12 0.18 0.6 0.4
"OG10052" "OG10052" "CCDC27" 0 0 0 0 0.06 0.04 0.05 0 NA 0 0 0.02 0.04 0.02 0.02 0 0 0 0 0 0 0 0 0 0.27 0.2 0.02 0.36 NA 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0
"OG10053" "OG10053" "IL23R" 0.07 0.15 0.24 0.09 0.06 0.07 0.27 0.23 0.09 0.17 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.59 1.02 0.46 0.13 0.03 0.49 0.33 0.54 0.58 0.1 0.19 0.09 0.27 0.35 0.35 0.25 0 0 0
"OG10055" "OG10055" "C1orf87" 0 0 3.39 3.66 4.59 0.64 0.94 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0.06 0 0 0 0 0 0.01 NA 0 0.48 0.03 0.05 0 0 0 0 0 0.07 0.02 0 0 0 0
"OG10056" "OG10056" "NFIA" 16.1 6.01 28.19 45.06 41.26 21.06 2.59 18.73 12.44 9.36 6.32 10.05 12.07 13.55 7.5 8.12 5.09 7.75 8.62 13.45 18.36 5.31 24.88 9.03 40.44 40.77 22.6 27.06 54.62 7.93 7.43 12.27 3.64 10.76 4.68 19.79 35.95 16.5 17.37 19.96 43.78 30.24 28.44
"OG10057" "OG10057" "OMA1" 5.43 8.54 4.16 4.86 3.36 5.1 7.44 3.43 2.38 3.31 3.99 5.6 6.44 7.97 8.13 8.86 6.23 5.59 5.48 8.08 6.4 6.99 5.53 9.17 5.8 4.53 8.23 4.04 2.37 NA NA NA NA 6.32 3.54 3.85 5.06 9.32 6.5 11.1 4.7 6.11 4.32
"OG10059" "OG10059" "TM2D1" 6.56 5.87 8.49 6.68 6.13 NA NA 17.25 5.13 8.02 9.14 9.04 8.26 12.4 12.41 7.3 11.23 11.37 12.23 10.55 12.93 4.93 3.67 5.89 31.63 42.37 33.11 28.44 9.99 5.9 6.09 5.78 4.71 3.78 3.3 6.67 14.71 22.59 25.23 29.29 9.14 8.35 10.74
"OG1006" "OG1006" "TFE3" 8.5 3.86 9.53 12.02 15.46 2.84 1.35 12.79 7.74 6.37 7.06 7.28 10.51 6.97 9.66 9.77 4.98 3.87 4.7 6.81 7.6 11.79 15.58 11.81 44.99 42.78 30.24 11.27 5.8 4.09 3.95 13.5 14.44 21.77 12.47 12.52 9.75 10.08 8.81 9.26 3.49 4.91 6.95
"OG10060" "OG10060" "USP1" 0.92 1.87 11.58 6.94 5.74 3.63 3.93 4.58 3.01 3.89 2.16 3.87 4.57 4.62 5.39 3.27 3.9 1.28 2.13 1.4 1.01 2.81 2.09 2.26 5.35 8.79 7.06 10.47 7.6 2.89 1.9 2 3.84 2.11 1.84 0.69 2.3 5.16 5.16 7.86 3.58 2.47 3.94
"OG10061" "OG10061" "FUBP1" 7.67 8.7 11.76 11.84 8.2 6.48 5.54 9.59 8.36 9.4 7.71 3.02 4.68 6.3 4.73 3.66 2.63 2.5 2.33 2.94 2.02 1.84 2.4 2.18 13.92 12.57 7.81 17.38 9.2 6.71 5.71 6.29 11.14 8.93 13.89 5.77 6.2 8.81 7.43 11.65 3.3 2.91 3.2
"OG10062" "OG10062" "NEXN" 0.45 0.54 2.03 0.82 0.45 0.73 0.54 0.08 0.23 5.57 0.93 0.09 0.42 0.51 0.28 0.2 0.3 0.1 0 0.08 0 0.05 0.04 0.05 0.6 0.43 0.22 0.95 2.34 1.15 1.62 1.15 1.28 0.49 1.03 0.02 0.13 0.43 0.36 0.44 0.28 0.13 0.06
"OG10063" "OG10063" "DNAJB4" 6.99 3.61 9.09 7.74 4.45 17.69 13.3 3.9 10.25 7.56 2.3 18.24 8.83 14.73 10.81 6.97 7.36 3 3.93 2.66 1.92 9.14 5.01 7.1 25.15 29.9 15.34 4.98 15.9 3.88 6.89 5.93 2.77 3.91 8.77 0.76 1.93 3.99 1.97 3.6 7.09 5.65 5.17
"OG10066" "OG10066" "LRRC53" 0 0 NA NA NA 0.01 0 NA 0 0.02 0.03 NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA
"OG10067" "OG10067" "TYW3" 2.84 2.88 9.16 5.16 5.36 6.02 10.32 0.53 0.9 3.16 2.48 1.03 1.04 1.09 0.66 1.05 0.54 2.45 2.9 1.31 1.58 0.45 0.5 0.17 1.04 1.3 2.32 2.46 1.94 2.78 1.65 1.55 2.77 4.12 2.47 2.36 4.46 1.93 2.77 2.77 1.34 1.47 1.53
"OG10068" "OG10068" "LHX8" 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0.14 0 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 2.83 0.16 2.59
